63 101 38
63 103 880
64 65 88
64 66 212
64 67 27
64 68 14
64 70 27
64 71 9
64 72 3
64 73 201
64 74 79
64 75 40
64 77 102
64 78 819
64 79 448
64 80 291
64 81 6065
64 82 1136
64 83 4
64 84 36
64 85 1452
64 86 810
64 87 8
64 88 26
64 89 10
64 90 88
64 91 378
64 92 2
64 93 179
64 99 209
64 103 44
65 66 356
65 67 16048
65 68 12408
65 69 324
65 70 327
65 73 15
65 74 33
65 79 84
65 81 1837
65 82 374
65 83 1191
65 84 331
65 85 11704
65 86 1162
65 87 58
65 88 32
65 90 305
65 91 7206
65 93 121
65 99 959
65 101 231
65 103 1348
66 67 1
66 68 80
66 70 34
66 74 17
66 78 15
66 79 53
66 80 7
66 81 204
66 82 219
66 84 85
66 85 724
66 86 1561
66 88 46
66 90 227
66 92 3
66 94 1
67 68 42812
67 69 5345
67 70 1123
67 71 1514
67 73 14601
67 74 10
67 75 7430
67 77 4311
67 78 3298
67 79 1783
67 80 6
67 81 349
67 82 4
67 83 421
67 84 6
67 85 1737
67 86 3
67 87 506
67 88 2
67 89 4311
67 90 1
67 91 10027
67 93 538
67 97 2611
67 99 23727
67 101 1324
67 103 19426
67 109 17
67 110 160
67 115 77
68 69 1258
68 70 1183
68 73 47
68 74 7
68 75 9
68 77 28
68 78 38
68 79 375
68 80 2
68 81 35
68 83 1
68 84 29
68 85 1
68 86 29
68 87 2
68 88 36
68 90 9
68 91 3308
68 96 1
68 98 5
68 99 2492
68 101 1283
68 103 2484
68 109 9
69 71 599
69 77 815
69 83 4
69 89 2
70 78 6
70 79 4
70 80 4
70 82 7
70 84 17
70 86 21
70 88 14
70 90 5
70 91 1126
70 99 524
70 101 991
70 103 334
71 73 27206
71 75 7118
71 77 7
71 79 1
71 81 848
71 84 76
71 85 554
71 91 422
71 93 34
71 97 25
71 99 343
71 103 276
72 73 43
72 74 193
72 75 81
72 78 3
72 81 1
72 86 1
72 90 1
73 74 955
73 75 37374
73 76 1
73 77 19018
73 78 14404
73 79 3694
73 80 17
73 81 14366
73 82 990
73 83 1
73 84 721
73 85 3434
73 86 144
73 87 28
73 89 545
73 90 7
73 91 7905
73 93 575
73 97 2663
73 99 13201
73 103 14181
73 115 115
74 75 556
74 76 65
74 77 29
74 78 452
74 79 802
74 80 93
74 81 1897
74 82 272
74 83 1
74 84 35
74 85 79
74 86 200
74 87 3
74 88 39
74 89 2
74 90 137
74 91 201
74 93 30
74 99 44
74 103 16
75 76 1
75 77 1197
75 78 858
75 79 1994
75 80 4
75 81 10312
75 82 202
75 83 1
75 84 576
75 85 3977
75 86 14
75 87 3
75 89 407
75 90 2
75 91 5850
75 93 407
75 97 1204
75 99 6266
75 103 7419
76 78 1
76 80 14
76 81 1
76 82 24
76 84 7
76 86 20
76 88 7
76 90 10
77 78 18172
77 79 597
77 80 8
77 81 974
77 82 128
77 84 1
77 85 120
77 86 125
77 87 26
77 90 6
77 91 1126
77 93 18
77 95 1
77 97 2590
77 99 4532
77 103 4100
77 108 12
77 109 26
77 115 456
78 79 633
78 80 540
78 81 1507
78 82 517
78 84 10
78 85 292
78 86 191
78 87 28
78 88 8
78 90 27
78 91 1274
78 93 88
78 97 1101
78 99 3911
78 103 3559
78 115 168
79 80 40
79 81 13823
79 82 762
79 83 20
79 84 105
79 85 7420
79 86 739
79 87 170
79 88 100
79 89 216
79 90 180
79 91 5990
79 93 841
79 95 6
79 97 245
79 99 3245
79 103 2317
79 108 9
79 109 33
79 115 49
80 81 428
80 82 314
80 83 4
80 84 7
80 85 85
80 86 87
80 87 1
80 88 14
80 90 30
80 91 71
80 93 33
80 99 27
80 103 6
81 82 2160
81 83 5145
81 84 3426
